"year","quantity","estimate","se_log","lower_50","upper_50","lower_80","upper_80","lower_95","upper_95","final_par_sha256","hessian_sha256","gradient_sha256","method"
1987,"fishing_mortality",0.5404989,0.0407411079207537,0.525848496730742,0.555557470863701,0.513002527103693,0.56946904833114,0.499017665889794,0.585428294167301,"21dcaea9db8c89ddc8c29fa3c3a5e514b50bef6e26587c168c00c05f35fbebc3","e289a150c45930c2f4f164fb43432d5c034d8caec7bda7ce664caca9e4ad20c5","406499fd39a792de4935f104fc69bceb64bc87ccb8f7aa33f7d445be9c5a2817","MFCL dependent-variable gradients; annual log-scale delta method including FMSY covariance"
1988,"fishing_mortality",0.46826725,0.0400103062914138,0.455799326161069,0.481076221128673,0.444861905494998,0.492904010691983,0.432949208873568,0.506466377414252,"21dcaea9db8c89ddc8c29fa3c3a5e514b50bef6e26587c168c00c05f35fbebc3","e289a150c45930c2f4f164fb43432d5c034d8caec7bda7ce664caca9e4ad20c5","406499fd39a792de4935f104fc69bceb64bc87ccb8f7aa33f7d445be9c5a2817","MFCL dependent-variable gradients; annual log-scale delta method including FMSY covariance"
1989,"fishing_mortality",0.4578282425,0.0390777817210858,0.445918649059537,0.470055917312965,0.435464773292895,0.481340196695214,0.424071915396357,0.494271589371182,"21dcaea9db8c89ddc8c29fa3c3a5e514b50bef6e26587c168c00c05f35fbebc3","e289a150c45930c2f4f164fb43432d5c034d8caec7bda7ce664caca9e4ad20c5","406499fd39a792de4935f104fc69bceb64bc87ccb8f7aa33f7d445be9c5a2817","MFCL dependent-variable gradients; annual log-scale delta method including FMSY covariance"
1990,"fishing_mortality",0.5594645,0.0387920988397828,0.545016027874288,0.574296003699263,0.53233127942745,0.587980715874706,0.518504631236867,0.603660040631851,"21dcaea9db8c89ddc8c29fa3c3a5e514b50bef6e26587c168c00c05f35fbebc3","e289a150c45930c2f4f164fb43432d5c034d8caec7bda7ce664caca9e4ad20c5","406499fd39a792de4935f104fc69bceb64bc87ccb8f7aa33f7d445be9c5a2817","MFCL dependent-variable gradients; annual log-scale delta method including FMSY covariance"
1991,"fishing_mortality",0.516748795,0.0386774436736415,0.503442410545396,0.530406877808864,0.491759476564656,0.543007974140878,0.479023889595962,0.557444676421422,"21dcaea9db8c89ddc8c29fa3c3a5e514b50bef6e26587c168c00c05f35fbebc3","e289a150c45930c2f4f164fb43432d5c034d8caec7bda7ce664caca9e4ad20c5","406499fd39a792de4935f104fc69bceb64bc87ccb8f7aa33f7d445be9c5a2817","MFCL dependent-variable gradients; annual log-scale delta method including FMSY covariance"
1992,"fishing_mortality",0.6507822625,0.0380382535676033,0.63429789366438,0.667695033224737,0.619818774827536,0.683292553218419,0.60402857899307,0.701154825969712,"21dcaea9db8c89ddc8c29fa3c3a5e514b50bef6e26587c168c00c05f35fbebc3","e289a150c45930c2f4f164fb43432d5c034d8caec7bda7ce664caca9e4ad20c5","406499fd39a792de4935f104fc69bceb64bc87ccb8f7aa33f7d445be9c5a2817","MFCL dependent-variable gradients; annual log-scale delta method including FMSY covariance"
1993,"fishing_mortality",0.5812313775,0.0378901040599412,0.566565349763951,0.596277047883882,0.55368215546292,0.610151349212431,0.539631057041335,0.62603867917237,"21dcaea9db8c89ddc8c29fa3c3a5e514b50bef6e26587c168c00c05f35fbebc3","e289a150c45930c2f4f164fb43432d5c034d8caec7bda7ce664caca9e4ad20c5","406499fd39a792de4935f104fc69bceb64bc87ccb8f7aa33f7d445be9c5a2817","MFCL dependent-variable gradients; annual log-scale delta method including FMSY covariance"
1994,"fishing_mortality",0.67360524,0.0382797520223837,0.656435828865273,0.691223725767389,0.64135733459522,0.707474593148341,0.62491604123842,0.726087969283451,"21dcaea9db8c89ddc8c29fa3c3a5e514b50bef6e26587c168c00c05f35fbebc3","e289a150c45930c2f4f164fb43432d5c034d8caec7bda7ce664caca9e4ad20c5","406499fd39a792de4935f104fc69bceb64bc87ccb8f7aa33f7d445be9c5a2817","MFCL dependent-variable gradients; annual log-scale delta method including FMSY covariance"
1995,"fishing_mortality",0.60236968,0.0386928959526877,0.586852424248349,0.618297235200223,0.573228492116251,0.632992316979451,0.558377167066831,0.649828203558821,"21dcaea9db8c89ddc8c29fa3c3a5e514b50bef6e26587c168c00c05f35fbebc3","e289a150c45930c2f4f164fb43432d5c034d8caec7bda7ce664caca9e4ad20c5","406499fd39a792de4935f104fc69bceb64bc87ccb8f7aa33f7d445be9c5a2817","MFCL dependent-variable gradients; annual log-scale delta method including FMSY covariance"
1996,"fishing_mortality",0.5609488125,0.0377229382064838,0.546856223787477,0.575404569899248,0.53447543337513,0.588733458258517,0.520970833160343,0.603994600496788,"21dcaea9db8c89ddc8c29fa3c3a5e514b50bef6e26587c168c00c05f35fbebc3","e289a150c45930c2f4f164fb43432d5c034d8caec7bda7ce664caca9e4ad20c5","406499fd39a792de4935f104fc69bceb64bc87ccb8f7aa33f7d445be9c5a2817","MFCL dependent-variable gradients; annual log-scale delta method including FMSY covariance"
