"check_type","unit","part","run_status","run_completed","output_hessian","has_hessian_file","success","missing","failure_reason","folder"
"hessian","part_37",37,"completed",TRUE,"bet.hes",TRUE,TRUE,FALSE,"","/var/lib/condor/execute/dir_1791789/scratch/output/checks/hessian/S0.90-F2-tau2-fixed/hessian/part_37"
"hessian","part_38",38,"completed",TRUE,"bet.hes",TRUE,TRUE,FALSE,"","/var/lib/condor/execute/dir_1791789/scratch/output/checks/hessian/S0.90-F2-tau2-fixed/hessian/part_38"
"hessian","part_39",39,"completed",TRUE,"bet.hes",TRUE,TRUE,FALSE,"","/var/lib/condor/execute/dir_1791789/scratch/output/checks/hessian/S0.90-F2-tau2-fixed/hessian/part_39"
"hessian","part_40",40,"completed",TRUE,"bet.hes",TRUE,TRUE,FALSE,"","/var/lib/condor/execute/dir_1791789/scratch/output/checks/hessian/S0.90-F2-tau2-fixed/hessian/part_40"
"hessian","part_41",41,"completed",TRUE,"bet.hes",TRUE,TRUE,FALSE,"","/var/lib/condor/execute/dir_1791789/scratch/output/checks/hessian/S0.90-F2-tau2-fixed/hessian/part_41"
"hessian","part_42",42,"completed",TRUE,"bet.hes",TRUE,TRUE,FALSE,"","/var/lib/condor/execute/dir_1791789/scratch/output/checks/hessian/S0.90-F2-tau2-fixed/hessian/part_42"
"hessian","part_43",43,"completed",TRUE,"bet.hes",TRUE,TRUE,FALSE,"","/var/lib/condor/execute/dir_1791789/scratch/output/checks/hessian/S0.90-F2-tau2-fixed/hessian/part_43"
"hessian","part_44",44,"completed",TRUE,"bet.hes",TRUE,TRUE,FALSE,"","/var/lib/condor/execute/dir_1791789/scratch/output/checks/hessian/S0.90-F2-tau2-fixed/hessian/part_44"
"hessian","part_45",45,"completed",TRUE,"bet.hes",TRUE,TRUE,FALSE,"","/var/lib/condor/execute/dir_1791789/scratch/output/checks/hessian/S0.90-F2-tau2-fixed/hessian/part_45"
"hessian","part_46",46,"completed",TRUE,"bet.hes",TRUE,TRUE,FALSE,"","/var/lib/condor/execute/dir_1791789/scratch/output/checks/hessian/S0.90-F2-tau2-fixed/hessian/part_46"
